id_user,first_name,last_name,kesalahan_analogi_verbal,kesalahan_silogisme,kesalahan_analitis,kesalahan_berhitung,kesalahan_deret_angka,kesalahan_perbandingan_kuantitatif,kesalahan_soal_cerita,kesalahan_analogi_figural,kesalahan_ketidaksamaan,kesalahan_serial,kesalahan_nasionalisme,kesalahan_integritas,kesalahan_bela_negara,kesalahan_pilar_negara,kesalahan_bahasa_indonesia,skor_pelayanan_publik,skor_jejaring_kerja,skor_sosial_budaya,skor_tik,skor_profesionalisme,skor_anti_radikalisme,total_kesalahan_tiu,total_kesalahan_twk,total_skor_tkp,label_tiu,label_twk,label_tkp
1,Rina,Hidayat,1,3,2,0,0,2,4,0,0,4,4,0,5,4,0,35,21,4,19,35,13,16,13,127,Sedang,Tinggi,Rendah
2,Joko,Hidayat,2,1,3,1,2,1,0,0,3,1,3,3,1,6,2,28,32,16,13,24,35,14,15,148,Tinggi,Sedang,Rendah
3,Joko,Hidayat,0,1,1,3,0,0,2,2,4,4,3,6,0,3,4,2,4,10,6,22,14,17,16,58,Sedang,Sedang,Rendah
4,Rina,Hidayat,0,1,2,0,1,0,2,0,3,2,6,1,0,6,4,32,23,7,40,16,30,11,17,148,Tinggi,Sedang,Rendah
5,Siti,Lestari,1,1,2,0,2,0,2,1,3,1,2,4,6,5,0,27,24,24,22,15,28,13,17,140,Tinggi,Sedang,Rendah
6,Joko,Lestari,0,2,3,3,1,2,1,0,0,4,4,5,2,3,5,4,18,21,4,12,2,16,19,61,Sedang,Rendah,Rendah
7,Agus,Hidayat,1,0,1,0,2,2,4,1,2,3,2,1,3,5,4,7,4,6,31,36,38,16,15,122,Sedang,Sedang,Rendah
8,Rina,Santoso,3,1,3,2,1,2,3,4,4,3,0,0,6,6,5,27,16,4,24,9,14,26,17,94,Rendah,Sedang,Rendah
9,Lina,Santoso,2,2,3,2,0,0,1,1,0,3,2,4,3,1,4,9,32,19,26,17,2,14,14,105,Tinggi,Sedang,Rendah
10,Sari,Hidayat,2,1,2,0,1,0,3,0,1,3,1,4,4,6,6,12,33,6,28,3,16,13,21,98,Tinggi,Rendah,Rendah
11,Dewi,Lestari,3,2,1,2,3,1,2,3,0,0,2,2,1,6,0,26,13,30,24,12,9,17,11,114,Sedang,Tinggi,Rendah
